Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17
3,0,2,0,1,0,2,0,2,0,1,0,3,0,4,1,2,0,4,1,23,1,2,0,4,0,1,1,3,0,2,0,0,0,2,0
1,0,2,0,2,0,2,1,0,4,3,1,4,0,11,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,2,0,0,0,2,0
2,1,1,1,2,1,2,0,2,0,1,1,0,1,0,1,3,0,4,0,3,2,1,0,1,1,0,1,2,1,2,0,0,0,2,0
2,2,3,0,2,0,2,1,2,4,3,0,2,0,2,1,2,0,4,1,4,2,2,0,1,2,0,0,2,2,2,1,0,0,2,1
2,0,1,0,0,1,2,1,77,81,2,0,4,1,1,3,1,2,3,1,4,0,3,2,1,0,0,0,1,0,2,0,0,0,2,1
2,1,2,1,3,0,3,0,0,0,2,0,0,1,1,1,4,2,4,1,10,3,1,2,0,1,5,3,3,1,1,0,0,0,2,0
2,0,2,0,1,0,1,3,0,0,2,1,3,1,4,4,2,2,2,3,1,2,3,1,1,2,4,0,2,1,3,0,0,0,2,0
2,0,2,0,4,0,1,1,70,75,1,0,1,0,4,0,3,1,5,0,3,2,1,1,1,0,1,1,1,0,2,0,0,0,2,0
2,0,2,0,0,0,3,1,4,3,2,0,4,1,3,2,0,1,0,0,3,1,3,0,8,1,5,1,2,0,1,0,0,0,1,0
2,2,2,0,2,0,1,0,3,1,3,1,3,1,4,0,0,0,4,2,2,1,1,0,3,0,6,1,70,56,3,0,0,0,3,1
2,0,2,0,71,63,69,72,63,77,2,0,4,0,4,1,2,0,8,1,11,1,1,0,2,1,6,1,66,56,2,0,0,0,2,0
2,1,2,0,0,0,0,0,0,0,3,0,3,0,2,1,1,1,7,2,18,1,3,0,1,0,3,0,66,56,3,1,0,0,1,1
2,1,1,0,0,0,0,0,0,0,2,0,2,0,2,0,2,1,3,1,0,0,1,0,3,0,1,1,0,0,1,1,0,0,3,1
2,0,3,1,64,63,61,72,0,0,2,0,2,0,3,1,2,0,2,0,1,0,4,0,2,1,2,0,0,0,2,0,0,0,2,0
2,0,2,1,1,0,2,0,0,0,2,0,2,0,0,0,3,0,5,1,2,0,2,0,0,1,1,0,0,0,3,0,0,0,2,0
2,2,2,0,63,63,59,72,0,0,2,0,1,0,1,1,3,0,2,0,2,3,2,0,2,0,0,1,56,56,1,0,0,0,2,1
2,1,2,0,57,63,54,72,51,77,1,1,1,0,1,0,3,0,5,0,18,3,2,0,1,0,0,1,2,0,2,0,0,0,2,0
2,0,2,0,3,0,2,1,1,0,2,0,0,2,0,1,4,1,3,1,2,0,1,0,2,1,6,3,2,0,1,0,0,0,2,0
2,1,2,0,1,0,3,1,50,77,2,0,3,1,0,2,0,1,2,1,1,3,3,0,2,1,3,1,2,0,3,0,0,0,2,0
2,0,2,0,4,0,1,0,48,77,1,0,1,0,0,0,3,0,2,0,3,3,1,0,1,0,4,2,2,0,2,0,0,0,2,0
2,0,2,0,1,0,2,0,2,0,2,0,1,0,1,0,1,0,1,0,0,0,2,0,4,0,5,0,2,0,1,0,0,0,2,0
2,2,2,0,1,0,2,1,2,2,2,0,2,1,4,0,1,0,2,0,1,1,2,1,3,0,5,0,2,1,3,0,0,0,2,1
1,1,1,0,3,0,1,0,4,1,2,1,3,0,2,0,2,0,4,0,1,0,1,1,1,0,5,0,1,1,1,0,0,0,1,0
3,0,3,1,1,0,2,0,3,1,2,0,1,1,5,2,3,0,1,0,1,0,1,0,1,0,5,0,2,0,2,0,0,0,3,0
1,1,1,0,2,0,2,0,1,1,2,0,4,0,4,1,1,0,1,1,1,0,4,0,4,0,2,0,3,1,3,1,0,0,1,0
2,0,3,0,2,0,2,1,1,1,2,0,1,1,1,1,2,0,3,1,0,1,2,0,2,0,1,0,2,1,1,1,0,0,3,0
3,1,2,0,2,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0,2,1,2,0,2,1,1,0,36,56,3,0,0,0,1,0
2,0,1,1,3,0,2,1,3,3,2,1,3,1,0,2,4,0,5,2,3,2,2,1,1,2,1,1,32,56,1,0,0,0,2,1
2,0,3,0,0,0,1,2,30,80,3,0,3,1,3,1,0,0,4,0,3,1,4,1,1,1,0,0,1,0,2,0,0,0,3,0
1,0,1,0,4,0,4,1,0,0,1,0,0,1,0,1,3,0,3,1,6,0,0,1,1,1,1,1,3,0,3,0,0,0,1,0
2,0,3,0,2,0,2,1,0,0,1,0,2,1,1,4,2,1,2,1,6,2,2,2,1,1,3,1,2,0,1,0,0,0,3,0
3,0,1,0,0,1,2,0,23,77,3,0,2,1,7,2,2,1,3,0,3,1,2,0,1,0,1,1,2,0,3,0,0,0,1,0
1,0,2,0,0,1,1,0,23,77,3,0,7,2,6,1,1,2,1,0,2,1,1,0,4,0,3,0,1,0,1,0,0,0,3,0
3,0,1,0,1,0,5,1,0,0,4,0,3,0,3,1,0,0,2,0,3,1,3,0,5,1,5,2,23,56,3,0,0,0,2,0
1,0,2,0,2,0,0,0,31,81,2,0,3,1,3,1,1,1,0,0,2,1,2,0,2,0,6,0,0,0,2,0,0,0,3,1
2,1,2,0,4,0,3,1,2,0,1,1,1,0,3,1,4,1,0,2,6,1,2,1,3,1,5,0,0,0,1,0,0,0,2,0
3,0,2,1,0,0,0,0,1,0,3,0,3,1,2,1,0,0,2,0,1,1,2,0,1,0,3,1,0,0,3,1,0,0,1,0
2,0,2,0,2,0,2,0,2,0,2,0,3,0,2,1,3,0,2,2,1,0,1,0,1,0,2,1,0,0,2,1,0,0,3,0
2,1,2,1,2,0,2,0,3,0,2,0,2,0,0,0,2,0,4,1,1,0,4,0,2,1,0,0,0,0,2,0,17,56,1,0
1,0,3,0,2,0,3,1,2,0,3,1,1,0,1,1,2,1,6,0,2,2,1,1,0,1,0,0,0,0,2,0,2,0,3,1
2,1,1,0,3,0,3,1,3,2,1,0,1,0,0,1,2,1,3,1,4,2,1,1,1,0,0,0,0,0,2,0,15,56,2,0
1,1,2,0,5,1,10,2,14,2,1,0,4,2,4,1,6,1,4,0,15,3,1,0,1,0,1,0,6,56,0,0,0,0,0,0
2,0,2,1,2,0,1,0,0,0,2,0,1,0,1,1,2,0,2,1,1,2,3,0,2,0,3,2,6,56,2,0,0,0,2,0
10,25,0,21,1,21,2,19,9,18,1,23,10,72,8,77,1,15,2,17,3,14,4,16,10,18,3,14,11,31,9,25,8,33,6,56
1,1,1,0,1,0,3,0,3,0,3,0,15,52,18,59,1,0,2,1,1,2,1,0,2,0,5,0,2,1,2,0,0,0,0,0
2,1,2,0,2,0,2,0,3,1,1,1,1,0,3,1,1,1,0,1,0,0,2,0,2,1,6,0,1,0,2,1,3,1,0,0
2,0,2,0,2,1,3,0,4,0,1,0,16,52,21,58,3,1,1,2,1,0,2,2,0,2,4,1,2,0,1,0,2,0,0,0
1,0,3,0,2,0,3,1,2,0,3,0,0,0,0,0,4,0,13,0,21,0,2,0,11,1,17,3,2,1,2,0,2,0,0,0
3,1,1,1,3,1,1,2,2,1,1,1,0,0,0,0,3,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,0,0
